"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2023/04/05","00:00","7.381","-","7.81"
"2023/04/05","00:06","7.722","-","8.17"
"2023/04/05","00:12","8.062","-","8.46"
"2023/04/05","00:18","8.401","-","8.9"
"2023/04/05","00:24","8.738","-","9.12"
"2023/04/05","00:30","9.071","-","9.57"
"2023/04/05","00:36","9.401","-","9.8"
"2023/04/05","00:42","9.725","-","10.19"
"2023/04/05","00:48","10.043","-","10.41"
"2023/04/05","00:54","10.354","-","10.78"
"2023/04/05","01:00","10.657","-","11.03"
"2023/04/05","01:06","10.951","-","11.38"
"2023/04/05","01:12","11.235","-","11.62"
"2023/04/05","01:18","11.509","-","11.92"
"2023/04/05","01:24","11.77","-","12.21"
"2023/04/05","01:30","12.02","-","12.45"
"2023/04/05","01:36","12.256","-","12.64"
"2023/04/05","01:42","12.477","-","12.92"
"2023/04/05","01:48","12.685","-","13.08"
"2023/04/05","01:54","12.877","-","13.36"
"2023/04/05","02:00","13.052","-","13.45"
"2023/04/05","02:06","13.212","-","13.72"
"2023/04/05","02:12","13.355","-","13.77"
"2023/04/05","02:18","13.48","-","13.96"
"2023/04/05","02:24","13.588","-","14.13"
"2023/04/05","02:30","13.678","-","14.2"
"2023/04/05","02:36","13.75","-","14.26"
"2023/04/05","02:42","13.804","-","14.31"
"2023/04/05","02:48","13.84","-","14.44"
"2023/04/05","02:54","13.858","-","14.42"
"2023/04/05","03:00","13.858","-","14.36"
"2023/04/05","03:06","13.84","-","14.37"
"2023/04/05","03:12","13.804","-","14.36"
"2023/04/05","03:18","13.751","-","14.27"
"2023/04/05","03:24","13.68","-","14.17"
"2023/04/05","03:30","13.593","-","14.07"
"2023/04/05","03:36","13.489","-","13.97"
"2023/04/05","03:42","13.369","-","13.78"
"2023/04/05","03:48","13.233","-","13.7"
"2023/04/05","03:54","13.082","-","13.47"
"2023/04/05","04:00","12.916","-","13.34"
"2023/04/05","04:06","12.736","-","13.14"
"2023/04/05","04:12","12.541","-","12.93"
"2023/04/05","04:18","12.334","-","12.75"
"2023/04/05","04:24","12.114","-","12.49"
"2023/04/05","04:30","11.881","-","12.31"
"2023/04/05","04:36","11.637","-","12.03"
"2023/04/05","04:42","11.382","-","11.77"
"2023/04/05","04:48","11.116","-","11.49"
"2023/04/05","04:54","10.841","-","11.25"
"2023/04/05","05:00","10.556","-","10.84"
"2023/04/05","05:06","10.263","-","10.6"
"2023/04/05","05:12","9.962","-","10.28"
"2023/04/05","05:18","9.655","-","9.94"
"2023/04/05","05:24","9.341","-","9.66"
"2023/04/05","05:30","9.021","-","9.31"
